,Unnamed: 0,estimate_name,study_name,source_name,publication_date,source_type,estimate_grade,study_type,country,state,city,study_inclusion_criteria,study_exclusion_criteria,sampling_start_date,sampling_end_date,population_group,sex,age,age_min,age_max,subgroup_var,subgroup_specific_category,denominator_value,serum_pos_prevalence,seroprev_95_ci_lower,seroprev_95_ci_upper,dashboard_primary_estimate,test_adj,pop_adj,clustering_adjustment,academic_primary_estimate,sampling_method,test_name,test_manufacturer,test_type,specimen_type,isotypes,antibody_target,test_validation,sensitivity,specificity,overall_risk_of_bias,jbi_1,jbi_2,jbi_3,jbi_4,jbi_5,jbi_6,jbi_7,jbi_8,jbi_9,first_author,lead_institution,is_unity_aligned,url,date_created,last_modified_time,data_quality_status,zotero_citation_key,alpha_3_code,low_vaccination
195,195,220521_Australia_UniversityOfSydney_ELISA_TestAdj_Overall,220521_Australia_UniversityOfSydney,"The seroprevalence of SARS-CoV-2-specific antibodies in children, Australia, November 2020 - March 2021.",2022-05-21,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Australia,Queensland; New South Wales; Victoria; South Australia; Western Australia.,Brisbane; Sydney; Melbourne; Adelaide; Perth.,"""We assessed the seroprevalence of SARS- CoV-2specific antibodies in children aged 0–19 years in blood opportunistically collected during anaesthesia from patients undergoing elective surgery at seven hospitals in the Paediatric Active Enhanced Disease Surveillance network""","""Four of 1689 blood specimens were excluded because the children lived outside the five states included in our study.""",2020-11-03,2021-03-12,Residual sera,All,Children and Youth (0-17 years),0.0,19.0,Primary Estimate,Test adjusted,1685,0.0023,0.0006,0.0056999999999999,True,True,,,,Convenience,Wantai SARS-CoV-2 Total Ab ELISA,Beijing Wantai Biological,ELISA,Serum,TotalAntibody,,Validated by independent authors/third party/non-developers,0.951,0.996,0,,No,Yes,Yes,,Yes,Yes,Yes,,Archana Koirala,University of Sydney,Unity-Aligned,https://dx.doi.org/10.5694/mja2.51542,2022-06-04,2022-07-16,Unverified,koirala_seroprevalence_2022,AUS,True
332,332,210616_Austria_UniversityHospitalOfSalzburg_Overall,210616_Austria_UniversityHospitalOfSalzburg_Overall,Seroprevalence of anti-SARS-CoV-2 total antibody is higher in younger Austrian blood donors.,2021-06-16,Journal Article (Peer-Reviewed),National,Repeated cross-sectional study,Austria,,,"Before donating blood, all donors had a brief health screening and had to complete a written questionnaire, including an informed consent on pathogen screening as a standard part of the blood donation process. Therefore, only individuals that appeared fit to donate at the time of the blood donation and had not reported symptoms of a common cold within the last two weeks or other health issues within a relevant time span before the donation were included.

No further preselection (e.g. according to a putative previous SARS-CoV-2 infection) of sample material was done",,2020-06-05,2020-12-04,Blood donors,All,Multiple groups,18.0,72.0,Primary Estimate,,20228,0.025,,,True,,,,True,Convenience,Elecsys® Anti‐SARS‐CoV‐2 (N),Roche Diagnostics,CLIA,Whole Blood,TotalAntibody,Nucleocapsid(N-protein),Validated by manufacturers,1.0,0.9981,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,,Lisa Weidner, University Hospital of Salzburg,Unity-Aligned,https://dx.doi.org/10.1007/s15010-021-01639-0,2021-09-08,2022-07-16,Verified,weidner_seroprevalence_2021,AUT,True
654,654,220306_Belgium_UniversityofAntwerp_c7_OverallPopAdj,220306_Belgium_UniversityofAntwerp_c7,"Seroprevalence of IgG antibodies against SARS-CoV-2 - a serial prospective cross-sectional nationwide study of residual samples, Belgium, March to October 2020",2022-03-03,Journal Article (Peer-Reviewed),National,Repeated cross-sectional study,Belgium,,,"Residual samples in this study originated from ambulatory patients (including people living in nursing homes) visiting their doctor (mainly general practitioners) for any reason including primary care, routine check-up or follow-up of pathology at several large laboratories accross the country.","To avoid disproportionate selection of subjects with acute and/or severe illness including COVID-19, samples originating from hospitals and triage centers were excluded from the study",2020-10-12,2020-10-17,Residual sera,All,Multiple groups,0.0,101.0,Primary Estimate,,2966,0.0418,0.0312,0.052,True,True,True,,True,Stratified probability,Anti-SARS-CoV-2 ELISA IgG,EUROIMMUN,ELISA,Serum,IgG,Spike,Validated by independent authors/third party/non-developers,0.8490000000000001,0.987,2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Sereina Herzog,University of Antwerp,Unity-Aligned,https://dx.doi.org/10.2807/1560-7917.ES.2022.27.9.2100419,2022-03-22,2022-07-16,Unverified,herzog_seroprevalence_2022,BEL,True
922,922,210618_Brazil_UniversidadeFederaldePelotas_primary,210618_Brazil_UniversidadeFederaldePelotas,COVID-19 and social distancing among children and adolescents in Brazil.,2021-06-18,Journal Article (Peer-Reviewed),National,Repeated cross-sectional study,Brazil,,,general population,,2020-05-14,2020-06-23,Household and community samples,All,Multiple groups,0.0,,Primary Estimate,,89362,0.023,,,True,,,,True,Stratified probability,Wondfo SARS-CoV-2 Antibody Test,Guangzhou Wondfo Biotech Co. Ltd,LFIA,Whole Blood,,,Validated by independent authors/third party/non-developers,0.848,0.99,1,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Fernando C Barros,Universidade Federal de Pelotas,Unity-Aligned,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8225319/,2021-07-21,2022-07-16,Verified,barros_covid-19_2021-1,BRA,True
1912,1912,210630_Canada_CBS_BloodDonors_RocheS_Overall_PopTestAdj,210630_Canada_CBS,"COVID-19 Seroprevalence Report June 30, 2021 Report #9: April 2021 Survey Tracking seroprevalence in the vaccine era",2021-06-30,Institutional Report,National,Repeated cross-sectional study,Canada,,,Canadian blood donors that are in good health and do not have risk factors for infections that may be transmitted to blood recipients.,"Donors are asked if they have had COVID-19 or been in contact with someone who has. They are deferred from donation for 2 weeks if they have been in contact with someone who was infected, and if they have had the infection deferral is for two weeks after symptoms disappear (3 weeks if hospitalized). Donors also have their temperature checked before they enter the clinic, and their hemoglobin level is checked before they can donate.",2021-04-13,2021-04-30,Blood donors,All,Multiple groups,17.0,,Primary Estimate,,16931,0.2692,0.2623999999999999,0.276,True,True,True,,,Sequential,Elecsys® Anti‐SARS‐CoV‐2 (S),Roche Diagnostics,CLIA,Plasma,TotalAntibody,Spike,Validated by manufacturers,0.988,0.996,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Canadian Blood Services,Canadian Blood Services,Unity-Aligned,,2021-08-18,2022-07-16,Verified,canadian_blood_services_covid-19_2021-4,CAN,True
4874,4874,220128_Chile_UniversidaddelDesarrollo_Overall_PopAdj,220128_Chile_UniversidaddelDesarrollo,"Seroprevalence, spatial distribution, and social determinants of SARS-CoV-2 in three urban centers of Chile.",2022-01-28,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Chile,"Coquimbo, Talca, Santiago",,"Residents (aged 7 years and older) of 3 urban areas in the center zone of Chile (Greater Santiago, Coquimbo-La Serena, Talca)",,2020-09-25,2020-11-25,Household and community samples,All,Multiple groups,7.0,94.0,Primary Estimate,Overall pop adj,2493,0.104,0.078,0.1369999999999999,True,,True,,True,Stratified probability,"Elecsys® Anti‐SARS‐CoV‐2 (S),2019-nCoV IgG/IgM Antibody Detection Kit","Roche Diagnostics,Zhuhai Livzon Diagnostics Inc",Multiple Types,Multiple Types,"['IgG', 'IgM']",Spike,Multiple tests with diff validations or values derived from each type,,,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Pablo Vial,Universidad del Desarrollo,Unity-Aligned,https://dx.doi.org/10.1186/s12879-022-07045-7,2022-02-08,2022-07-16,Verified,vial_seroprevalence_2022,CHL,True
5266,5266,20220223_Colombia_InstitutoNacionaldeSalud_Analysis,220222_Colombia_InstitutoNacionaldeSalud,"Seroprevalence of anti-SARS-CoV-2 antibodies in Colombia, 2020: A population-based study.",2022-02-22,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Colombia,,"Bogota, Medellin, Cali, Barranquilla, Cucuta,
Bucaramanga and Villavicencio Leticia, Ipiales and Guapi","Seven of the ten most populated cities in Colombia (Bogot a, Medell ın, Cali, Barranquilla, Cucuta, Bucaramanga and Villavicencio) as well as cities in key border regions (Leticia, Ipiales and Guapi) were involved. Individuals in the selected households were invited to participate.",,2020-09-21,2020-12-11,Household and community samples,All,Multiple groups,5.0,80.0,Primary Estimate,,17863,0.3253,0.32,0.33,True,,,,True,Stratified probability,ADVIA Centaur Immunoassay System,Siemens,CLIA,Serum,"['IgG', 'IgM']",Spike,Validated by independent authors/third party/non-developers,0.86,0.99,1,Yes,Yes,Yes,Yes,Yes,Unclear,Yes,No,Yes,Marcela Mercado-Reye,Instituto Nacional de Salud,Unity-Aligned,https://dx.doi.org/10.1016/j.lana.2022.100195,2022-02-23,2022-07-16,Verified,mercado-reyes_seroprevalence_2022,COL,True
5335,5335,210620_Croatia_CroatianInstituteOfPublicHealth_SecondWave_Overall,210620_Croatia_CroatianInstituteOfPublicHealth_SecondWave,SARS-CoV-2 Seroprevalence and Neutralizing Antibody Response after the First and Second COVID-19 Pandemic Wave in Croatia.,2021-06-20,Journal Article (Peer-Reviewed),National,Repeated cross-sectional study,Croatia,,,,,2020-12-15,2021-02-15,Multiple general populations,All,Multiple groups,,,Primary Estimate,,1436,0.251,0.228,0.2739999999999999,True,,,,True,Convenience,"COVID-19 ELISA IgG,Author designed (Neutralization Assay)","Vircell S.L.,NA",Multiple Types,Serum,"['IgG', 'Neutralizing']","['Nucleocapsid(N-protein)', 'Spike']",,,,0,Yes,No,Yes,Yes,Unclear,Yes,Yes,No,Unclear,Tatjana Vilibic-Cavlek,Croatian Institute of Public Health,Unity-Aligned,https://dx.doi.org/10.3390/pathogens10060774,2021-07-13,2022-07-16,Verified,vilibic-cavlek_sars-cov-2_2021,HRV,True
5391,5391,220301_CzechRepublic_MasarykUniversity_3Feb2021Mar2021_OverallAdjusted,220301_CzechRepublic_MasarykUniversity_3Feb2021Mar2021,Nationwide increases in anti-SARS-CoV-2 IgG antibodies between October 2020 and March 2021 in the unvaccinated Czech population,2022-03-01,Journal Article (Peer-Reviewed),National,Repeated cross-sectional study,Czechia,,,All clients of the second-largest health insurance company in the Czech Republic were sent a written invitation to participate in the study.,The presence of COVID-19 symptoms on the day of study enrolment was used as the sole exclusion criterion.,2021-02-01,2021-03-31,Household and community samples,All,Multiple groups,18.0,,Primary Estimate,Population Adjusted,19548,0.51,0.503,0.518,True,,True,,,Convenience,"Liaison SARS-CoV-2 S1/S2 IgG,SARS-CoV-2 IgG II Quant ","DiaSorin,Abbott Laboratories",CLIA,Serum,IgG,Spike,,,,0,Yes,No,Yes,Yes,Unclear,Yes,Yes,No,Unclear,Pavel Piler,Masaryk University,Unity-Aligned,https://doi.org/10.1038/s43856-022-00080-0,2022-03-16,2022-07-16,Verified,piler_nationwide_2022,CZE,True
5518,5518,210822_Denmark_StatensSerumInstitut_December_testadj,210822_Denmark_StatensSerumInstitut_December,"Prevalence of SARS-CoV-2 antibodies in Denmark: nationwide, population-based seroepidemiological study.",2021-08-22,Journal Article (Peer-Reviewed),National,Repeated cross-sectional study,Denmark,,,"For DSS-I, adults aged 18 years and older with an address in one of 30 municipalities which had a test facility (see below) at that time (n = 5), or were neighbouring a municipality with a test facility (n = 25) were eligible (approximately 45% of the population of Denmark). For DSS-II and DSS-III, people aged 12 years or older were selected by random sampling, with no restriction on municipality (n = 98). To make it a safe experience for children and motivate participation, parents living on the same address as invited children 12–17 years old, were also invited to have an antibody test. Parents’ antibody test results were not included in the seroprevalence calculation.",,2020-12-01,2020-12-31,Household and community samples,All,Multiple groups,12.0,,Primary Estimate,,4044,0.043,0.034,0.051,True,True,True,,,Simplified probability,Wantai SARS-CoV-2 Total Ab ELISA,Beijing Wantai Biological,ELISA,Serum,TotalAntibody,,Validated by independent authors/third party/non-developers,0.967,0.995,2,,Yes,Yes,No,,Yes,Yes,Yes,,Laura Espenhain,Statens Serum Institut,Unity-Aligned,https://dx.doi.org/10.1007/s10654-021-00796-8,2021-08-31,2022-07-16,Verified,espenhain_prevalence_2021-1,DNK,True
